time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2025-05-25,97750,7685968,1748219953,1748219953,1.000130339130552491,73069679299.56760218234112929062,0,0,0.00000918448724408022,1.00032729444161,0.04459123318447858,-0.0381043030797241,73045771824.466342,154161,199564,178339345.999448
2025-05-26,126473,7691787,1748310346,1748310346,1.000111028216832057,73068301380.08705538395464217862,0,0,0.000009145973728851923,1.00031330305661,0.06503623634997568,0.00859668393239606,73045416027.974142,182192,231641,197408950.704766
2025-05-27,124807,7696216,1748395668,1748395668,1.000198894989859094,73076172960.43573790266980599904,0,0,0.000009172591783839112,1.00042106588112,0.13795054242389393,0.009435287313719466,73045416027.974142,188635,247742,285573576.787179
2025-05-28,129166,7704892,1748480706,1748480706,0.999684878844174078,73032561083.747787332362034226568,0,0,0.000009266606971937835,0.999824288115004,0.09765729578042838,-0.044495761744544816,73045396027.974142,182974,234423,289474985.803733
2025-05-29,118161,7713176,1748569294,1748569294,0.999866343127501366,73047399354.8605995706107792741,0,0,0.000009458048743972815,1.00002746958855,0.11206601832456488,-0.019324385612912606,73045392827.974142,182339,234019,465434718.98391
2025-05-30,126681,7719889,1748652176,1748652176,1.000216406186769022,73076224429.45343234864738621074,0,0,0.000009621172843423,1.00042208824247,0.06970295977068998,0.023102661460411126,73045392827.974142,196258,250662,420540592.243056
2025-05-31,117008,7725531,1753443283,1753443283,1.000297856873036953,73083795729.66278051368119042212,0,0,0.000009555301672124326,1.00052574023086,0.15054204591643333,0.014932528891217375,73045392827.974142,169439,220562,270861161.407146
2025-06-01,115115,7734829,1753446704,1753446704,1.000252119205236217,73080993027.47059111464535662948,0,0,0.000009460859194123855,1.00048737090894,0.11742821191602205,0.001706617577359213,73045392827.974142,165034,224787,176536272.876805
2025-06-02,127689,7741556,1753693993,1753693993,1.000186335088047808,73075752458.61619256222168403072,0,0,0.000009446828885778544,1.00041631592188,0.09496586756615237,0.02240789819724407,73045342519.506144,190499,248770,236658699.24993
2025-06-03,129246,7750590,1753693994,1753693994,1.000419810556327947,73096361553.59040930249680423424,0,0,0.000009486733477280383,1.00069845704496,0.0900774408405872,0.07142443178549211,73045342519.506144,188621,241991,283584503.098451
