time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI30d,SplyCur,TxCnt,TxTfrCnt
2018-01-05,7669,180079,1614335055,1614335055,2.49578653,9192595400.39163,0,0,0.0005408291116992878,9.19259540039163,97.50524505189455,1000000000,8384,8314
2018-01-06,8297,183407,1614335055,1614335055,2.6016806,9762240986.97804,0,0,0.0005707714811993857,9.76224098697804,142.67559153480207,1000000000,9313,9246
2018-01-07,8757,186349,1614335055,1614335055,2.66806807,10188425216.9066,0,0,0.0006276870787230467,10.1884252169066,136.12573618958152,1000000000,9700,9651
2018-01-08,9647,187548,1614335055,1614335055,2.54068354,9712686612.95175,0,0,0.0006502253940730497,9.71268661295175,136.1038414743594,1000000000,12506,12292
2018-01-09,8384,189228,1614335056,1614335056,2.43352705,9282129870.98763,0,0,0.0006455523325196074,9.28212987098763,145.15186202496065,1000000000,10391,10285
2018-01-10,7339,191472,1614335056,1614335056,2.68169823,11199738733.7354,0,0,0.0007634924905301378,11.1997387337354,155.76877133212122,1000000000,9451,9369
2018-01-11,8304,193904,1614335056,1614335056,2.66063685,11201369410.892,0,0,0.0008494409321736028,11.201369410892,100.53956815030634,1000000000,10953,10889
2018-01-12,13026,196628,1614335056,1614335056,3.00932205,13509106443.0391,0,0,0.0009796701572788457,13.5091064430391,87.16485708383932,1000000000,15822,15715
2018-01-13,16410,202580,1614335056,1614335056,3.38837793,16067234517.7265,0,0,0.001129012748010975,16.0672345177265,88.57539638668437,1000000000,19455,19371
2018-01-14,12756,204509,1614335056,1614335056,2.86031299,13396635323.456,0,0,0.0009792099424941845,13.396635323456,67.03337118340961,1000000000,15171,15103
2018-01-15,9196,207780,1614335056,1614335056,2.75866512,12862293437.63,0,0,0.0009463346775498573,12.86229343763,50.49373269924517,1000000000,10743,10678
2018-01-16,11420,211275,1614335056,1614335056,2.30206294,10335910361.9428,0,0,0.0009041968418289013,10.3359103619428,27.495990469459823,1000000000,13546,13457
2018-01-17,11181,214276,1614335056,1614335056,2.28125326,10182392957.3891,0,0,0.0009124328039582696,10.1823929573891,13.553961176757193,1000000000,13792,13721
2018-01-18,12102,216463,1614335056,1614335056,2.30955052,10405801472.7158,0,0,0.000925285853712845,10.4058014727158,-10.171317399291658,1000000000,14278,14150
2018-01-19,7517,218571,1614335056,1614335056,2.3930715,11064519215.022,0,0,0.0009671566474531374,11.064519215022,5.199668059837144,1000000000,9315,9244
2018-01-20,10783,221820,1614335056,1614335056,2.9608223,15569395577.9071,0,0,0.0012193689096787158,15.5693955779071,46.12645769384891,1000000000,14462,14363
2018-01-21,9158,223169,1614335056,1614335056,2.59226891,13218917166.724,0,0,0.0011572807650558263,13.218917166724,60.832770011325344,1000000000,11484,11378
