time,AdrActCnt,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,SplyExpFut10yrCMBI,SplyFF,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-12-11,428.0,1614094443.0,435946992.1750189775,0.0,0.0,88.629358052091,51.91035943962895,0.0006202354471069554,11.2025438050885,,-3.947146900498576,38915000.0,38909967.663162816266386632,10197010.010165283316463823,735.0,1122.0,439075.7290279389,4918765.08818665379813248709265,646.171443082107538884,7238.763896724560088781517330811234,172.93852591066928,1937.35141210170518561090463128,725004.359138124658627708,8121893.092124956419611294089037492158,,0.06501809355561064,0.060158637014106814
2020-12-12,432.0,1614094444.0,459576731.1341727025,0.0,0.0,104.669401305863,55.41488164693284,0.0006277350678589003,11.8097579631035,,1.9706742584077066,38915000.0,38909967.663162816266386632,10202056.739316154193109788,669.0,1033.0,371789.649262283,4390745.7709747039635081752905,587.073760396364613032,6933.199016770083159207099311264812,108.9189897395563,1286.30690640991342544986097705,606447.194489444645261944,7161994.584323495903459610895644683204,,0.06575079684176202,0.06060696950873682
2020-12-13,408.0,1614094444.0,484488435.475675796,0.0,0.0,111.203682452915,59.00926788635249,0.0006499196703164048,12.4499148265624,,-6.952300425850022,38915000.0,38909967.663162816266386632,10202952.117902994981665399,614.0,938.0,349943.4473896767,4356766.11411509514148870837608,548.881032537631700619,6833.5221050091400051632455457221256,96.25997659350926,1198.428509796080522278478367824,514850.408520298535180493,6409843.7344985733248415182828747272632,,0.06078736425751917,0.060536878092958775
2020-12-14,617.0,1614094445.0,476833267.2580629515,0.0,0.0,126.585754830432,58.3987504535237,0.0006353169351256587,12.2531997239641,,-5.6764780413901015,38915000.0,38909967.663162816266386632,10205458.705653521936041021,464.0,1026.0,307420.0572736519,3766879.36092653927349595149679,495.986638471361868994,6077.4233416071731147402830665591154,47.741447257244246,584.9854883541118341312530355686,508882.291071617277588036,6235436.3484889596157258830406366535076,,0.06062831813824152,0.06049639342179337
2020-12-15,441.0,1614094445.0,466374924.377891172,145000.0,1731294.522140149,79.084184282833,57.62631267236871,0.0006144298400463327,11.9399622216562,,-5.272814295304784,39060000.0,39054967.663162816266386632,10236220.210107539485365155,727.0,1100.0,493904.06380506547,5897195.862954955066900492831414,642.184834349492857655,7667.662661453489519210167864948211,223.5733490639762,2669.45734159303037169892138244,706403.317784442143420354,8434428.9275988384711294414169586702948,,0.06056475961567802,0.060306537208855815
2020-12-16,840.0,1614094446.0,549464168.192998086,0.0,0.0,34.421776228858,69.8922457657646,0.0006582456181030409,14.0671830054531,,7.54836705532786,39060000.0,39054967.663162816266386632,10279249.132927539730964794,1985.0,3076.0,1134746.7876237412,15962690.72635319031263062313772,582.792630984965117278,8198.2505942950010493902011550286618,207.53020586302256,2919.365385034494250240128321936,1792670.132909752700747247,25217818.8280514232279259327476458126157,,0.06741704447364216,0.0638939954617792
2020-12-17,596.0,1614094447.0,549863786.254820814,0.0,0.0,37.76206743582,70.24686062339339,0.0006177212117263399,14.0774138826119,,2.146859143524075,39060000.0,39054967.663162816266386632,10360572.501909213742457202,1369.0,2017.0,1034371.3321943097,14561273.35160794071035695350543,775.916745590033052426,10922.9011661201770296871474025114694,313.83634544903344,4418.004126292407331518477641936,1565024.075855096666742459,22031491.6520643970688679536957955486621,,0.06675688863558296,0.06389205881798304
2020-12-18,769.0,1614094448.0,562156389.365719554,0.0,0.0,70.099010047678,72.89163149701719,0.0006244206549814919,14.3921246637409,,7.218826248607484,39060000.0,39054967.663162816266386632,10369155.420465639707171718,1197.0,1723.0,557211.8632407716,8019462.59987653032098505847844,511.694639414560362613,7364.3730402223006344070281970789717,111.48726276752895,1604.538584169515949845956049055,881649.863711287504781426,12688814.7483030239930721844712019965234,,0.06666580194758774,0.06378237108704403
2020-12-19,647.0,1614094448.0,554292472.2850746,0.0,0.0,130.949459483135,71.86519925541094,0.0005948329722781772,14.19079550141,,7.251644906269756,39060000.0,39054967.663162816266386632,10371222.525508578369438959,919.0,1295.0,298283.01815198077,4232873.3121381260825968278857,324.523623459058920829,4605.24837588408607701230254786889,67.61350226,959.4893837057828681866,420258.092379481302473326,5963796.64676989146972768210732038966,,0.06666317899657202,0.06309773733871943
2020-12-20,562.0,1614094448.0,514463341.741380738,0.0,0.0,106.874015872219,66.76184683532077,0.0005597924290192745,13.1711044992673,,-14.976349928216983,39060000.0,39054967.663162816266386632,10376412.552870894215262353,992.0,1458.0,365477.04960110266,4813736.412380021415845242081018,425.026436854410980556,5598.0676147606814405673171765466188,102.55695030333989,1350.788309571452912721247862597,619688.544933731209650434,8161982.5823210735403443298270421270082,,0.06126784517801305,0.06385439909579331
2020-12-21,441.0,1614094450.0,497462062.089681864,0.0,0.0,131.008869077991,64.70168376501739,0.0005552431268748372,12.7358438835044,,-21.126437437429047,39060000.0,39054967.663162816266386632,10377206.864408644214038953,748.0,1106.0,298147.7534681031,3797163.24238731862859764850364,450.86870549044344776,5742.193445084010874161005727130144,179.6829238371534,2288.41366652159708430611237496,498660.788272430453222742,6350865.9502629160268243902577927370648,,0.0608184231453012,0.06369930015959323
2020-12-22,886.0,1614094450.0,517612170.1844681955,145000.0,1914392.6712599895,79.926386970683,67.05673224014647,0.0005557423030548359,13.2027080776551,,-22.35490516472873,39205000.0,39199967.663162816266386632,10395632.997382157169242583,900.0,1741.0,490513.8526326754,6476111.20435514684255887145454,408.393360019350440675,5391.8983131881854295420083056611925,70.65924798145863,932.893424085838673895008058513,711012.839793689117215164,9387294.9632606308328324912303672819364,0.09267901417714879,0.06035362913073728,0.06365474421697562
2020-12-23,760.0,1614094451.0,459663790.5433383505,0.0,0.0,104.976741157046,60.17898759212652,0.00050304566620602,11.7246216182461,,-32.26765597780388,39205000.0,39199967.663162816266386632,10445513.612434023626942682,1058.0,1584.0,373463.67936254694,4378720.328683847723754871721934,393.356305501379150842,4611.9538431548873075604855113782162,111.94416742407844,1312.503005416910910954781624084,623076.387914184574933352,7305334.8875573414951714005922946339272,0.08960109013999232,0.06337811175670224,0.06550247566721407
2020-12-24,636.0,1614094451.0,487185245.096355992,0.0,0.0,67.958867993818,63.573771866777314,0.0005241607198020904,12.4266100011824,,-22.27871559068016,39205000.0,39199967.663162816266386632,10454765.634122499822870174,1099.0,1571.0,576893.0701371646,7168825.19497930935613618342304,565.369539651441129119,7025.6267757964877932053205810703056,159.07657219100838,1976.782522942598783950448308512,888195.546792414013846203,11037259.6647762823231287149918017504272,0.08958266359239314,0.06338264409729621,0.06570452668948219
2020-12-25,501.0,1614094452.0,485806860.791644888,0.0,0.0,117.958717247094,63.27426426806553,0.0005023052852133242,12.3914516207536,,-16.48421922357197,39205000.0,39199967.663162816266386632,10461458.812313592113008224,718.0,1037.0,332362.04084752174,4118448.149736997472090911183264,488.462423530527910992,6052.7584897345914844896400407635712,83.17329060009061,1030.637806609902953227516483696,506535.533201157443698313,6276710.5538547713694109116646881086768,0.08956820693495797,0.062134808757090806,0.06482726110786284
2020-12-26,584.0,1614094453.0,494270816.414107986,0.0,0.0,154.254641571909,64.18822181603214,0.0004761427936879011,12.6073413190692,,-7.067711230975663,39205000.0,39199967.663162816266386632,10463012.073635209817137418,747.0,1082.0,254157.66812905838,3204252.470961754849371734059896,408.312677937680884906,5147.7372956635191646251847482494952,71.73542795222089,904.393024863146075926247595588,441794.317528570717467893,5569851.7539079277361194195684196451956,0.08912130446809063,0.06021244301620533,0.06475480288408625
2020-12-27,507.0,1614094454.0,535496510.499326758,0.0,0.0,121.607269941983,76.28237811235984,0.0005167779187609594,13.6588830633676,,3.2879440768153345,39205000.0,39199967.663162816266386632,10467130.181665120239506356,841.0,1244.0,322390.265143722,4403490.9323661743480473182072,440.492129547087724196,6016.6304878174432838174691397624496,137.60950748368785,1879.59217112730097809488820366,547972.209156577128900203,7484688.3268448994450741083265455036228,0.0892388788237725,0.0618815137363698,0.06371422525357477
2020-12-28,490.0,1614094455.0,556347314.906856036,0.0,0.0,110.600849528619,78.9704425419509,0.0005248174980761922,14.1907235022792,,5.759313718219516,39205000.0,39199967.663162816266386632,10468092.858452723955915282,786.0,1145.0,354472.8649652477,5030226.41578258177353974255784,487.885037549341900727,6923.4416687618160977637660446369784,136.25851567018475,1933.6069207065693900821100822,558628.367993996476332641,7927340.7107322794319427192246208553672,0.08887501489528957,0.06220877554453683,0.06359774898000563
2020-12-29,526.0,1614094455.0,539398925.82143254,145000.0,1987619.929964618,90.297596522894,76.67024820796945,0.0005033829546841367,13.7077236549284,,-4.761165858558769,39350000.0,39344967.663162816266386632,10491182.537234015792190199,755.0,1088.0,435781.2557062142,5973569.02721847418192833606328,591.850047762842784514,8112.9168998892234039088059352987976,104.53923307012803,1432.994918023467261621728483052,643932.851965972949551326,8826853.5870794750634540693836286550584,0.08887851083775036,0.06117569138753645,0.06374402287189394
2020-12-30,815.0,1614094457.0,552907425.877558095,0.0,0.0,96.086092152094,80.54487854940454,0.00048712784963984927,14.0510146347537,,-5.571822207334092,39350000.0,39344967.663162816266386632,10530079.428785026054251709,979.0,1524.0,409528.57087488973,5754291.942712843463234713209501,449.186455359826614025,6311.5254579940633207726459608406425,75.4808230631881,1060.58214950411059613738027097,684560.157968375759774011,9618764.7979829525008562619040186460907,0.08889032322741888,0.061027211952082806,0.0636461250262453
2020-12-31,506.0,1614094458.0,534442441.98236831,0.0,0.0,104.985154373323,78.63084999774256,0.0004679708677835508,13.5817647263626,,-0.19300089376952898,39350000.0,39344967.663162816266386632,10553834.457223224173580107,692.0,1043.0,374814.89868627524,5090647.769892424677222827642024,587.092224683987364549,7973.7484683347257255317249169594674,101.76942617,1382.208402577868873349242,612337.190345398821224201,8316619.6524731189317240748919098212826,0.08892861095034924,0.059097317808383606,0.06384413332900461
2021-01-01,653.0,1614094458.0,548980484.0103134,0.0,0.0,8.675740660782,73.58033910296471,0.0004748430905902994,13.951219415764,,-4.2660208893358185,39350000.0,39344967.663162816266386632,10590485.743876452246132468,1073.0,1563.0,4535635.807773523,63277650.344244407757688016572,3125.01038564342033905,43597.7055666526310357918157947842,142.65611443052035,1990.2267534205264468975127974,4884391.23276066598993483,68143213.80067806230893814369703466012,0.0888153867716756,0.057907955475466996,0.06297624248280027
2021-01-02,464.0,1614094459.0,571431004.299405245,0.0,0.0,89.555724712772,76.16020311749323,0.0004534833787746799,14.5217536035427,,-1.0664767719529988,39350000.0,39344967.663162816266386632,10668040.635448401956388483,745.0,1114.0,439391.22960822075,6380731.171928237575040243651025,646.046952010560251228,9381.7346534171311031749252228254356,209.68605846058074,3045.009275062603618493963387598,719696.304539764119867789,10451252.4039066840489339187822460160903,0.08886034253553081,0.058386547990205206,0.06298021410531406
2021-01-03,528.0,1614094460.0,627440915.466295525,0.0,0.0,47.678032471947,83.38343171647627,0.00047915169732675215,15.9451312697915,,20.457792985542593,39350000.0,39344967.663162816266386632,10736692.093232425027350869,1076.0,1650.0,825327.6815303293,13159958.22259377435322813734095,902.622586229411086194,14392.435624506657294927782474908551,380.87838930315604,6073.15591526557373892366276566,1489327.267278528292220135,23747518.7804359845366313991631935518525,0.08910792121686201,0.05746745380463434,0.06383498896682059
2021-01-04,427.0,1614094461.0,614978018.81653723,0.0,0.0,53.703572804786,81.6499187013571,0.0004914263275646627,15.6284121681458,,13.345551836347115,39350000.0,39344967.663162816266386632,10748095.91180596807494416,844.0,1199.0,732725.9238978052,11451342.74496033221587797359816,886.576689881157832137,13855.7859281331124190830650549415746,406.146775,6347.429200463174399795,1063005.451167508240732094,16613087.3278316017904779537992185313052,0.08907347717193306,0.057278122010911287,0.06388380173951504
2021-01-05,1034.0,1614094462.0,667784373.3921195,145000.0,2451670.6960845,48.255114730982,87.9352166602433,0.0004971036716653514,16.9080737661,,23.008604887937384,39495000.0,39489967.663162816090605323,10767644.798481595556149995,1217.0,2208.0,818462.4618588301,13838623.67989290705544703961,559.187870124311321641,9454.7897571702022032674113021701,135.461661626284,2290.3957672556875626281724,1234686.817234479398182666,20876175.7838318064648032510103584226,0.08917551626847332,0.05884534344695051,0.06345939670031708
2021-01-06,860.0,1614094463.0,719232630.0142793955,0.0,0.0,54.386430005649,93.76890253731582,0.0004969731776234186,18.2107261682309,,35.25346625149005,39495000.0,39489967.663162816090605323,10840759.455974038349183103,1416.0,1999.0,726192.1769069559,13224486.87916406488299980731731,617.657362019073890053,11247.9890855212152896039261681172377,183.24801202400545,3337.079367841846658465958458405,1234697.066676128706216412,22484730.1819569093639267163977345855308,0.08927525158433675,0.05985361271988857,0.06399965780596419
2021-01-07,631.0,1614094463.0,729109525.1592278805,0.0,0.0,46.655946929614,93.73061942156322,0.00047075096960841594,18.4608058022339,,48.869354047128674,39495000.0,39489967.663162816090605323,10857906.910140073570814066,1207.0,1718.0,846515.8805925192,15627365.28012551770962698864088,764.979021522373355209,14122.1291591074415017865972504013851,291.42813561584785,5379.998216911251873349772512115,1314233.958975437424249488,24261817.8953465845000772383794613312432,0.08927766931148974,0.05725610877601368,0.06395837743763055
2021-01-08,516.0,1614094464.0,711884822.7166871235,0.0,0.0,65.609357363837,90.49465596629253,0.0004420479054331301,18.0246821804453,,44.533400133203855,39495000.0,39489967.663162816090605323,10872464.209189206032108526,991.0,1421.0,601972.0598843861,10850355.06092404515517621513033,687.751832876264679514,12396.5082066134020049792075223075842,321.248444023457,5790.4011044853848220199054021,977295.354517172109589806,17615438.1615976442490828800582574206118,0.08923592006432032,0.05764463504014052,0.06410504481936145
2021-01-09,644.0,1614094465.0,777330127.980245253,0.0,0.0,52.961721022832,97.47274541213017,0.00048752545064306057,19.6817351052094,,63.84259095840678,39495000.0,39489967.663162816090605323,10880489.476157554936094116,1177.0,1674.0,745727.2769322058,14677206.72530880689073421289452,710.287212772584560148,13979.6847704075160614004548024349912,283.0,5569.9310347742602,1189020.79418130655368742,23401992.305662181886777827003221245748,0.08915375171639717,0.05845530212953749,0.061512458142105826
2021-01-10,662.0,1614094466.0,763106504.8470904605,0.0,0.0,58.726957697917,94.70538609508111,0.0005040941928389918,19.3215977933179,,72.47509252801588,39495000.0,39489967.663162816090605323,10955025.382323395060451059,1164.0,1739.0,672519.0874548012,12994143.31613085467107563290148,746.177208388394827735,14417.3359030213203249238619045919565,200.49034593639513,3873.793825626194543157128101827,1297602.16538741860543103,25071747.135354076045039987436383314437,0.08902918546124185,0.0565632627328143,0.06121462105781878
2021-01-11,436.0,1614094467.0,633713469.894291456,0.0,0.0,34.702043395028,77.25653696226283,0.00045493709319764067,16.0454100492288,,35.86569766593427,39495000.0,39489967.663162816090605323,10963158.811793656976472385,872.0,1216.0,1138117.417191025,18261560.64299919915266353152,1280.892242080598346436,20552.4412530592415208250186370285568,349.42155419,5606.612117017371706908672,1557564.966370007589265588,24991768.5637200376893137879615177785344,0.09015416919172271,0.06728498041002873,0.06613228667968515
2021-01-12,571.0,1614094467.0,603483635.58875332,145000.0,2207495.639767135,64.406452690891,73.11487819904406,0.00045158686140139165,15.224107860463,,22.282827413258655,39640000.0,39634967.663162816090605323,10984889.579807815923584207,1042.0,1453.0,615466.2823963603,9369925.0676803693673714728189,650.223423032955843536,9899.071525653181541473606348517168,199.53762657641786,3037.78234922017395417526106918,944774.633666884840657479,14383350.926774072779756141292909352777,0.09025138507248963,0.06773360334329047,0.06397160229178389
2021-01-13,1261.0,1614094468.0,690314522.212550976,0.0,0.0,91.495046566062,83.24543178293992,0.0004669224247095776,17.4145944049584,,42.12283156455813,39640000.0,39634967.663162816090605323,11036654.842926068318607732,1352.0,2311.0,433247.49795475433,7544829.453845090602452605869872,348.585906234546377468,6070.4821723594847890678937372373312,54.64910537069385,951.69200462446716839448838584,805582.029308036678327702,14028884.3003227693475211696798888775968,0.09074639604148049,0.07146128533143987,0.06606287126457243
2021-01-14,579.0,1614094469.0,697603763.222840796,0.0,0.0,75.192779520648,83.40488630619726,0.0004507170387878219,17.5984804042089,,47.39142450793954,39640000.0,39634967.663162816090605323,11051648.460396799437978141,981.0,1457.0,527178.2776578275,9277536.58888587581816503016475,673.78472213231075912,11857.587229100809618065124002060168,180.75096464460484,3180.942309339933977577813311076,981704.340146776776037722,17276504.5927998796135188090503139681258,0.09069723142225108,0.07110877336906102,0.06590559363813837
2021-01-15,496.0,1614094470.0,703938924.319534804,0.0,0.0,84.26028755482,83.53547335268271,0.00048374133033339165,17.7582977880811,,26.23918933305377,39640000.0,39634967.663162816090605323,11060748.166359839805639164,879.0,1264.0,470447.00594227144,8354338.025034015020829492933784,621.771911353256867105,11041.6107580754992117172805956622155,256.33092565468576,4552.000910070387021713693895136,785919.695950516680020808,13956595.9982074310036122054031223915288,0.08995242590856391,0.06513766059651582,0.06577815107487285
