time,AdrActCnt,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2020-02-13,5.0,1612531965.0,5119232.808420979668,500.0,5117748.6613092,0.833575,,1.0,10235.4973226184,,15.915093226885634,500.145,4.0,4.0,600.0,6141298.39357104,150.0,1535324.59839276,50.0,511774.86613092,600.0,6141298.39357104,,0.021146987144743067,0.02812461224150194
2020-02-14,15.0,1612531982.0,5182310.279365676274,0.0,0.0,2.998849230444,,1.0,10361.6156901812,,17.592652785792012,500.145,27.0,27.0,166.7789747222168,1728099.64127405533668125768416,13.827886728230251615,143279.248085278954141787160942638,4.99995,51807.56037012149094,373.3529416622167936,3868539.69830253176177644526700032,,0.021144636399339372,0.027668968572758437
2020-02-15,10.0,1612531998.0,4957299.36352829025375,0.0,0.0,5.942362487854,,1.0,9911.72432700175,,13.683681146723172,500.145,12.0,12.0,84.16601999999999,834230.3879409157314177567299825,13.681074641666666667,135603.04034533424970892682477566725,2.0,19823.4486540035,164.1728957,1627236.484144010996467475,,0.02285740813836089,0.027784870167404878
2020-02-16,5.0,1612532015.0,4977466.3525447679661,0.0,0.0,37.5407304766,,1.0,9952.04661157218,,11.663392089506722,500.145,6.0,6.0,13.32272957,132588.4256740109866753626,2.774243206666666667,27609.39770458413908797454887052406,3.28195,32662.119376849316151,16.64545924,165656.3862275048345079432,,0.02261129554451069,0.02511148819428799
2020-02-17,12.0,1612532030.0,4842943.8603975669495,0.0,0.0,79.528928852399,,1.0,9683.0796277031,,8.455237317771143,500.145,12.0,12.0,6.28884366,60895.373925955800797346,1.357899471666666667,13148.6487105643028567565265425677,0.09995,967.823808788924845,16.29479366,157783.784526771634242346,,0.02331235323404643,0.025268485540038216
2020-02-18,5.0,1612532046.0,5099130.214286318643,0.0,0.0,83.257299839643,,1.0,10195.3037904734,,17.357975841706015,500.145,3.0,3.0,6.0072209999999995,61245.4430315114033237481047633,2.002407,20415.1476771704694738,3.0,30585.9113714202,6.007221,61245.4430315114084214,,0.024237023289232173,0.025971411450349622
2020-02-19,7.0,1612532063.0,4819398.3696611850852,0.0,0.0,125.030732960866,,1.0,9636.00229865576,,11.576118052941696,500.145,6.0,6.0,4.000176501856903,38545.70996692187431802077671128,0.700012750309483838,6745.32447107052683530480684560688,0.09995,963.118429750643212,4.200076501856903028,40471.94682642316101182884107364128,,0.026676929358733757,0.027148888641338697
2020-02-20,8.0,1612532079.0,4808409.0955892642379,0.0,0.0,7.579114371163,,1.0,9614.03012244302,,10.115404410328834,500.145,9.0,9.0,65.98990007367556,634428.8870853216986258580665912,10.887777785963949801,104675.42360072338550764765476283902,2.0,19228.06024488604,97.990000073675548207,942078.81240651046954960083262066514,,0.02666202672020728,0.02661272158855442
2020-02-21,0.0,1612532094.0,4852305.51198213483105,0.0,0.0,,,1.0,9701.79750268849,,12.186738640970944,500.145,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.02657142168693691,0.026407811595550307
2020-02-22,5.0,1612532108.0,4839027.4398976874586,0.0,0.0,8338.954519845331,,1.0,9675.24905756868,,15.644325524013961,500.145,4.0,4.0,0.05997694301003054,580.2918613336484116271449474872,0.027280125752507634,263.94201097730456315673717930312,0.029737910000000003,287.72168570156225368454717270604,0.109120503010030536,1055.76804390921825262694871721248,,0.025679725293125875,0.026337386211852956
