time,AdrActCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetCompletionTime,AssetEODCompletionTime,CapAct1yrUSD,CapMrktCurUSD,CapMrktEstUSD,CapRealUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyCur,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,VelCur1yr,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd
2018-04-13,20,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781743,1752781743,,,,,0,,198.406284050200251251,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9563114.75,28,0.000324074074074074,28,48199.65655715,,2260.003112598571428571,,239.09825,3.488344530451,,,,
2018-04-14,20,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781750,1752781750,,,,,0,,28.560865678022198762,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9573114.75,22,0.00025462962962963,22,335182.93380605,,16906.342378984090909091,,304.49125,3.523553142887,,,,
2018-04-15,18,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781758,1752781758,,,,,0,,49.726648060745533335,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9573114.75,33,0.000381944444444444,33,192514.78077319,,10700.982144834242424242,,207.72594,3.560441075394,,,,
2018-04-16,14,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781767,1752781767,,,,,0,,22.529059156876176697,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9783114.75,17,0.000196759259259259,17,434244.26567827,,26007.744638854705882353,,10,3.529207570035,,,,
2018-04-17,19,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781775,1752781775,,,,,0,,24.985756830821967839,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9783114.75,25,0.000289351851851852,25,391547.66518546,,15718.8586824608,,262,3.56937590876,,,,
2018-04-18,24,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781782,1752781782,,,,,0,,97.137504787338201749,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9783114.75,27,0.0003125,27,100714.08331332,,7459.932097282962962963,,1000,3.589964256313,,,,
2018-04-19,16,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781790,1752781790,,,,,0,,147.465707378751565468,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9773114.75,20,0.000231481481481481,20,66273.81323916,,6653.381323916,,384.80347,3.607253244866,,,,
2018-04-20,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781798,1752781798,,,,,0,,527.377520749730575813,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9773114.75,18,0.000208333333333333,18,18531.53455632,,2013.681617368888888889,,494.76,3.610962018378,,,,
2018-04-21,11,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781805,1752781805,,,,,0,,92.768350780578241047,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9773114.75,11,0.000127314814814815,11,105349.66578328,,11434.933875141818181818,,4375.6068,3.623832456907,,,,
2018-04-22,13,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1752781813,1752781813,,,,,0,,37.362935628812451229,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,9773114.75,14,0.000162037037037037,14,261572.45370365,,37028.407866039285714286,,539,3.676875700886,,,,
