time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMVRVCur,CapMrktCurUSD,CapMrktEstUSD,IssTotNtv,IssTotUSD,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2023-11-23,0,24168,1700786018,1700786018,0.021061825837,11055134.27256966,4608848.334667984761572211237410468586492,0,0,0.000004232731509778274,0.157930489608138,-25.462632037915384,2.778054085685033,70000000,0,0,1089378.95029047
2023-11-24,2,24168,1700873201,1700873201,0.021090716402,11070209.57622587,4615133.178111535965909542757983470290094,0,0,0.000004192761102936375,0.158145851088941,-24.500862191928537,2.0911987361197286,70000000,1,1,1974025.25506318
2023-11-25,2,24167,1700959480,1700959480,0.021545182493,11308752.20180482,4714580.797248533183298372165996010304084,0,0,0.000004273890581330672,0.161553602882926,-23.40878694054203,0.8240890118410856,70000000,1,1,1509845.81460564
2023-11-26,0,24167,1701045904,1701045904,0.021049427993,11048537.89202233,4606098.325780636207234127769142185990746,0,0,0.0000042109088280940885,0.157836255600319,-27.147821943923958,-1.0686161547914899,70000000,0,0,2752641.89067163
2023-11-27,3,24168,1701132525,1701132525,0.010383429784,5431992.969522735,2264579.618325509387635482186568278723807,0,0,0.000002084380145408766,0.0775998995646105,-63.67591063146899,-51.81173867338582,70000000,4,4,12161276.2089624
2023-11-28,5,24168,1701219174,1701219174,0.008587859605,4492603.039692047,1872951.1127860927828265147152404512522614,0,0,0.0000016966071031743092,0.0641800434241721,-69.60796746697697,-60.259290095638,70000000,3,3,6786300.40545093
2023-11-29,2,24169,1701305202,1701305202,0.005851142015,3060889.840443211,1276074.6903574033678746021108970268943182,0,0,0.000001155366803649781,0.0437269977206173,-80.47142172713912,-73.42143465157932,70000000,3,3,4297490.87213725
2023-11-30,0,24169,1701391434,1701391434,0.010266053903,5370449.05309185,2238922.16634365308507252851708963849297,0,0,0.000002034345920771521,0.076720700758455,-66.3675938185345,-52.032146029735706,70000000,0,0,58402397.7188393
2023-12-01,2,24169,1701477784,1701477784,0.009353663533,4893023.582832077,2039885.0918691721280543499799947163597474,0,0,0.0000018060444131776563,0.0699003368976011,-69.70314896479799,-55.82179736507955,70000000,1,1,28460072.568721
2023-12-02,0,24169,1701563204,1701563204,0.00945261127,4944784.437003397,2061464.0180646139940829842970892814511314,0,0,0.000001790058197390769,0.0706397776714771,-69.05605497039932,-55.44014110447543,70000000,0,0,13261576.0732177
2023-12-03,0,24169,1701650826,1701650826,0.00792933411,4147938.255278321,1729261.5221851576688753545883454082661002,0,0,0.0000014822134882550738,0.0592562607896903,-73.77232599264717,-62.46291092408531,70000000,0,0,6248626.13283811
2023-12-04,0,24169,1701736811,1701736811,0.007163172402,3747149.057460564,1562173.8522055574699741004684425725543368,0,0,0.000001277268391851509,0.0535307008208652,-76.78094592031312,-67.06112751705817,70000000,0,0,5290809.10795793
2023-12-05,0,24169,1701822793,1701822793,0.0052753243,2759591.054085411,1150464.2386428394974061554667415307579582,0,0,0.0000008946087649466685,0.0394227293440773,-82.9695725231534,-74.97259234033599,70000000,0,0,4800841.72692201
2023-12-06,0,24169,1701909394,1701909394,0.00344878948,1804106.829401107,752126.0756533282515645739831332947170334,0,0,0.0000005891522030542176,0.0257729547057301,-88.78991604696961,-84.09495794310077,70000000,0,0,14922771.2285373
2023-12-07,0,24169,1701995495,1701995495,0.001216284839,636254.4879248978,265252.35829777834711387528930313524248436,0,0,0.00000021000000000000013,0.00908934982749854,-95.89687850049857,-94.41391325534285,70000000,0,0,1040318.19221275
2023-12-08,0,24169,1702082558,1702082558,0.000887290112,464153.0481938924,193503.84630853070283341704547978013717688,0,0,0.0000001500000000000001,0.00663075783134132,-97.05306359283229,-95.98431827558552,70000000,0,0,239159.606666049
2023-12-09,0,24169,1702169014,1702169014,0.001307336373,683884.7346111221,285109.24811089544363779338959127685290802,0,0,0.00000022336032224802706,0.00976978192301603,-95.75931416943911,-94.27566807549817,70000000,0,0,253807.039524089
2023-12-10,0,24169,1702255817,1702255817,0.000994850464,520419.27387107,216961.046747402980342707176633038902334,0,0,0.00000016999999999999993,0.007434561055301,-96.74417649811917,-95.69153560748737,70000000,0,0,208089.614424186
2023-12-11,5,24170,1702340627,1702340627,0.00102512465,536256.0996612575,223563.3662100110934680359094373951971215,0,0,0.00000018589713617767395,0.00766080142373225,-96.60564330926447,-95.51061053338039,70000000,4,4,245635.586331395
2023-12-12,0,24170,1702427865,1702427865,0.001102190466,576570.2352402104,240370.19388352505740767455105512302092848,0,0,0.00000019863176276626532,0.00823671764628872,-96.23298713568349,-95.33066569680446,70000000,0,0,214106.267841831
2023-12-13,0,24170,1702514661,1702514661,0.000936378601,489831.8822633551,204209.26595512079227015326046688734198262,0,0,0.00000016296579837719596,0.00699759831804793,-96.77388064916592,-95.79265141377718,70000000,0,0,234220.683954015
2023-12-14,0,24170,1702600110,1702600110,0.001538963002,805051.656291211,335623.3306569340136126248309457660319182,0,0,0.00000026725306838106406,0.0115007379470173,-94.59721309736616,-92.93266285123839,70000000,0,0,249041.778021797
2023-12-15,4,24170,1702686469,1702686469,0.001179630035,617078.0261878141,257257.75582957701509998903441837897491842,0,0,0.00000020999999999999992,0.00881540037411163,-95.67485324350271,-94.77676608924462,70000000,1,3,243845.416653994
2023-12-16,0,24170,1702773616,1702773616,0.001133671702,593036.6944821746,247235.00541670643760125676115142148220852,0,0,0.0000002007418858971929,0.00847195277831678,-95.41046822190718,-94.78303430061061,70000000,0,0,282539.288265505
2023-12-17,0,24170,1702860017,1702860017,0.000902912376,472323.8392322618,196910.22163981427997412372159182095498116,0,0,0.00000016286991844097578,0.00674748341760374,-96.46116908095586,-95.87922483414972,70000000,0,0,264786.978640146
2023-12-18,0,24170,1702946232,1702946232,0.000956155576,500175.9687849848,208521.68087143398417360171874841746899376,0,0,0.00000016759113653829388,0.00714537098264264,-96.24287234603992,-95.59811017979223,70000000,0,0,262473.95316399
2023-12-19,0,24170,1703032805,1703032805,0.000907581775,474766.455545529,197928.5401739968281602098827554170852698,0,0,0.00000016044662929189222,0.0067823779363647,-96.39688473186494,-95.90595144281198,70000000,0,0,255807.330512035
2023-12-20,0,24170,1703118926,1703118926,0.000939685084,491560.0651570952,204929.73959708989939465670794542829670224,0,0,0.00000016104257755149862,0.00702228664510136,-96.4601630053754,-95.73907957507035,70000000,0,0,264213.500512036
2023-12-21,2,24171,1703205137,1703205137,0.000821938819,429965.6300802457,179251.22656146594796655741677538421739034,0,0,0.00000014001214470799915,0.00614236614400351,-96.82769551843906,-95.93718530042737,70000000,1,1,209079.659098112
2023-12-22,0,24171,1703291785,1703291785,0.001026287148,536862.5860500917,223816.20834781423606254351835160616869554,0,0,0.00000017426840174410212,0.00766946551500131,-96.03541133595333,-95.10016781543456,70000000,0,0,231475.238541107
2023-12-23,0,24171,1703377617,1703377617,0.000785331126,410815.7256989086,171267.69576564670563772547289673570749932,0,0,0.00000013408627095273242,0.00586879608141298,-97.0048187025589,-96.28393725874288,70000000,0,0,226712.021461634
2023-12-24,0,24171,1703465296,1703465296,0.000818616704,428227.7935257161,178526.72834074852728593400534190740153082,0,0,0.00000014194549568075994,0.00611753990751023,-96.9248334206462,-96.13171014896258,70000000,0,0,171505.827988361
2023-12-25,0,24171,1703551479,1703551479,0.000751781799,393265.6877576301,163951.14391338048148157935724952740673762,0,0,0.00000012878492109877286,0.00561808125368043,-97.09027603319912,-96.52246613295792,70000000,0,0,15452.224281506
2023-12-26,4,24171,1703637791,1703637791,0.000902517362,472117.1712257161,196824.06244225838255711755561883614153082,0,0,0.00000015872800142564752,0.00674453101751023,-96.58173056123836,-95.72688100597806,70000000,1,3,214144.208415939
2023-12-27,2,24172,1703723656,1703723656,0.001046924784,547658.3593478088,228316.92996347953635234851102709561794256,0,0,0.00000018011598765296912,0.00782369084782584,-95.93443205512034,-89.91791111622283,70000000,1,1,283620.684081011
2023-12-28,0,24172,1703809590,1703809590,0.000854793994,447152.539939217,186416.3915362733147353337793987003774154,0,0,0.00000014970217184068622,0.0063878934277031,-96.60276869374339,-90.04691632025722,70000000,0,0,278008.834276676
2023-12-29,0,24172,1703896925,1703896925,0.000898253847,469886.8877428404,195894.26475166010102932493250689518253448,0,0,0.0000001598307869877737,0.00671266982489772,-96.48044461481845,-84.64868347974256,70000000,0,0,244457.681607947
2023-12-30,0,24172,1703983096,1703983096,0.000904991745,473411.5593332552,197363.68849534466225208883360688535849424,0,0,0.00000016024413496886286,0.00676302227618936,-96.3108710880667,-91.18487942715507,70000000,0,0,232327.430757186
2023-12-31,0,24172,1704069395,1704069395,0.001138796375,595717.441933957,248352.6000224516394515583553552094542034,0,0,0.0000002015827074613266,0.0085102491704851,-95.40605869191207,-87.82516716199524,70000000,0,0,192485.007398381
2024-01-01,0,24172,1704155059,1704155059,0.000933666327,488411.5620161309,203617.13921611259113502392411123735749058,0,0,0.00000015839708096241354,0.00697730802880187,-96.24050549683075,-90.1226925412321,70000000,0,0,204732.937590461
2024-01-02,0,24172,1704276863,1704276863,0.000943160168,493377.8991160502,205687.58846693318240959370643306877327324,0,0,0.00000015683297058308362,0.00704825570165786,-96.29663039579935,-88.10546664989,70000000,0,0,595169.347604773
2024-01-03,0,24172,1704356763,1704356763,0.000801179616,419106.2440719462,174723.98502048785782677860890382116358844,0,0,0.0000001399747705018713,0.00598723205817066,-96.81994404918032,-88.8153303312686,70000000,0,0,523610.671191387
2024-01-04,3,24171,1704447184,1704447184,0.00088452484,462702.5682216539,192899.14608149611960635341662147628686318,0,0,0.00000014937684436686698,0.00661003668888077,-96.55717956265305,-83.23292983804066,70000000,2,2,614770.035326243
2024-01-05,0,24171,1704501692,1704501692,0.000881570551,461157.154058153,192254.8681090886560876438872567907609786,0,0,0.00000014923008339200847,0.0065879593436879,-96.5744418491239,-74.43847855665847,70000000,0,0,578938.152478422
2024-01-06,0,24171,1704588074,1704588074,0.001061032678,555035.3398078321,231392.36833173318754771540799483616261002,0,0,0.0000001805428281632836,0.00792907628296903,-95.86252908110562,-12.765198463582802,70000000,0,0,317004.019094796
2024-01-07,2,24171,1704674005,1704674005,0.001000120769,523168.8502097603,218107.33588484551550669340731933032850686,0,0,0.0000001704636282040684,0.00747384071728229,-96.07342202850468,12.714728955354186,70000000,1,1,266642.833981569
2024-01-08,0,24171,1704760896,1704760896,0.001194832495,625023.6589250143,260570.26342160072960934217803430090582166,0,0,0.0000001900523143257449,0.00892890941321449,-95.36599890048926,-8.606870822987162,70000000,0,0,321283.721334941
