time,AdrActCnt,AdrBalCnt,AssetCompletionTime,AssetEODCompletionTime,CapMrktCurUSD,IssTotNtv,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,volume_reported_spot_usd_1d
2024-01-22,3,206,1746000943,1746000943,,0,,,,,151532184.198360724994625252,2,2,0
2024-01-23,12,206,1746000943,1746000943,,0,,,,,151552427.03035161064023608,10,11,5053.02016298686
2024-01-24,4,206,1746000944,1746000944,,0,,,,,151572669.862342496285846909,2,3,10000.4020538208
2024-01-25,7,206,1746000944,1746000944,,0,,,,,151592912.694333381931457738,4,5,0
2024-01-26,0,206,1746000944,1746000944,,0,,,,,151613155.526324267577068566,0,0,0
2024-01-27,3,206,1746000944,1746000944,,0,,,,,151633398.358315153222679395,1,2,59060.2409854032
2024-01-28,10,207,1746000944,1746000944,,0,,,,,151653641.190306038868290224,9,9,0
2024-01-29,7,207,1746000944,1746000944,,1306097.999999999999999998,,,,,152980102.154913911501497163,8,8,0
2024-01-30,19,212,1746000944,1746000944,,0,,,,,152000519.318526700671342606,10,15,0
2024-01-31,18,212,1746000944,1746000944,,0,,,,,152020803.037078625156442192,21,22,0
2024-02-01,9,213,1746000945,1746000945,,0,,,,,152041086.755630549641541778,5,8,74340.330379013
2024-02-02,11,214,1746000945,1746000945,,0,,,,,150061370.474182474126641364,7,10,8979.21370213535
2024-02-03,3,214,1746000945,1746000945,,0,,,,,150081387.409415417959416503,1,2,0
2024-02-04,0,214,1746000945,1746000945,,0,,,,,150101404.344648361792191641,0,0,0
2024-02-05,4,214,1746000945,1746000945,,0,,,,,150121421.279881305624966779,3,3,0
2024-02-06,0,214,1746000945,1746000945,,0,,,,,150141438.215114249457741917,0,0,0
2024-02-07,5,217,1746000945,1746000945,,0,,,,,150161455.150347193290517055,5,5,0
2024-02-08,6,217,1746000946,1746000946,,0,,,,,150181472.085580137123292193,3,4,0
2024-02-09,4,217,1746000946,1746000946,,0,,,,,150201489.020813080956067332,2,3,0
2024-02-10,12,217,1746000946,1746000946,,79999.999999999999999999,,,,,150301505.956046024788842469,8,9,6301.94896941656
2024-02-11,7,218,1746000946,1746000946,,0,,,,,150321533.551236132837865812,5,5,0
2024-02-12,4,220,1746000946,1746000946,,0,,,,,150341561.146426240886889155,2,2,0
2024-02-13,5,221,1746000946,1746000946,,0,,,,,150361588.741616348935912498,2,3,10000.1914159898
2024-02-14,16,221,1746000946,1746000946,,0,,,,,150381616.33680645698493584,14,15,0
2024-02-15,5,221,1746000946,1746000946,,0,,,,,150401643.931996565033959183,2,4,13967.3252821336
2024-02-16,9,222,1746000946,1746000946,,249999.999999999999999999,,,,,150671671.527186673082982525,11,14,0
2024-02-17,9,222,1746000947,1746000947,,0,,,,,150691732.408131065693877232,5,9,3899.56959246596
2024-02-18,6,223,1746000947,1746000947,,0,,,,,150711793.289075458304771939,3,7,14278.3856747484
2024-02-19,4,224,1746000947,1746000947,,0,,,,,150731854.170019850915666646,2,2,425.206443
2024-02-20,12,226,1746000947,1746000947,,0,,,,,150751915.050964243526561353,9,13,34999.9861820545
2024-02-21,3,226,1746000947,1746000947,,0,,,,,150771975.93190863613745606,2,4,130529.630636143
2024-02-22,7,227,1746000947,1746000947,,0,,,,,150792036.812853028748350767,4,11,25470.4146027734
2024-02-23,8,227,1746000947,1746000947,,0,,,,,150812097.693797421359245474,5,7,0
2024-02-24,8,228,1746000947,1746000947,,0,,,,,150832158.574741813970140181,5,13,122649.987637157
2024-02-25,3,228,1746000948,1746000948,,0,,,,,150852219.455686206581034888,1,2,2060.60803801327
2024-02-26,6,228,1746000948,1746000948,,0,,,,,150872280.336630599191929595,9,24,36124.0261255759
2024-02-27,3,228,1746000948,1746000948,,0,,,,,150892341.217574991802824302,2,2,0
2024-02-28,3,228,1746000948,1746000948,,0,,,,,150912402.098519384413719009,1,2,12037.0172036241
2024-02-29,3,228,1746000948,1746000948,,0,,,,,150932462.979463777024613716,2,4,41617.3125142569
2024-03-01,0,228,1746000948,1746000948,,0,,,,,150952523.860408169635508423,0,0,0
2024-03-02,3,228,1746000948,1746000948,,0,,,,,150972584.74135256224640313,1,2,88035.1266536779
2024-03-03,10,229,1746000948,1746000948,,0,,,,,150992645.622296954857297837,5,9,2460.69724280271
2024-03-04,3,229,1746000948,1746000948,,0,,,,,151012706.503241347468192544,2,2,0
2024-03-05,4,230,1746000948,1746000948,,0,,,,,151032767.384185740079087251,1,3,0
2024-03-06,2,230,1746000949,1746000949,,0,,,,,151052828.265130132689981958,1,1,0
2024-03-07,5,230,1746000949,1746000949,,0,,,,,151072889.146074525300876665,3,3,0
2024-03-08,8,230,1746000949,1746000949,,0,,,,,151092950.027018917911771372,4,6,0
2024-03-09,3,230,1746000949,1746000949,,0,,,,,151113010.907963310522666079,2,2,0
2024-03-10,0,230,1746000949,1746000949,,0,,,,,151133071.788907703133560786,0,0,0
2024-03-11,0,230,1746000949,1746000949,,0,,,,,151153132.669852095744455493,0,0,0
2024-03-12,5,231,1746000949,1746000949,,0,,,,,151173193.5507964883553502,2,4,6921.24767375784
2024-03-13,6,232,1746000949,1746000949,,0,,,,,151193401.938218413264854427,4,4,0
2024-03-14,7,233,1746000949,1746000949,,0,,,,,151213610.325640338174358654,5,10,129116.343215309
2024-03-15,4,233,1746000950,1746000950,,1999999.999999999999999999,,,,,153234085.995714643460243678,5,5,0
2024-03-16,3,233,1746000950,1746000950,,0,,,,,153254561.665788948746128703,1,2,0
